Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,286.500000,301.000000,228.000000,247.000000,247.000000,118417
2018-11-19,246.000000,285.000000,226.000000,272.000000,272.000000,157243
2018-11-26,277.500000,277.500000,252.000000,258.000000,258.000000,31104
2018-12-03,268.000000,273.000000,257.500000,259.000000,259.000000,38301
2018-12-10,258.000000,260.000000,237.500000,250.000000,250.000000,42997
2018-12-17,250.000000,255.000000,237.500000,240.000000,240.000000,100481
2018-12-24,240.000000,246.500000,236.000000,244.000000,244.000000,9700
2018-12-31,244.000000,263.500000,242.000000,262.000000,262.000000,24185
2019-01-07,263.500000,271.500000,255.000000,265.500000,265.500000,31363
2019-01-14,265.500000,282.000000,258.000000,275.000000,275.000000,39190
2019-01-21,279.000000,292.000000,266.000000,283.000000,283.000000,52424
2019-01-28,285.000000,287.000000,271.500000,279.500000,279.500000,22079
2019-02-04,280.000000,282.000000,260.000000,267.500000,267.500000,39321
2019-02-11,266.000000,268.000000,260.500000,265.000000,265.000000,9595
2019-02-18,266.000000,275.000000,262.000000,263.000000,263.000000,17572
2019-02-25,263.000000,290.000000,263.000000,285.000000,285.000000,38342
2019-03-04,289.000000,291.500000,279.000000,280.000000,280.000000,20673
2019-03-11,280.000000,291.500000,279.000000,289.500000,289.500000,21394
2019-03-18,294.000000,324.500000,294.000000,304.000000,304.000000,43139
2019-03-25,302.500000,412.000000,296.500000,397.000000,397.000000,246128
2019-04-01,404.500000,425.000000,375.000000,392.000000,392.000000,101896
2019-04-08,397.000000,405.500000,378.000000,386.500000,386.500000,46288
2019-04-15,389.000000,395.500000,368.500000,374.000000,374.000000,22489
2019-04-22,374.000000,383.000000,360.500000,380.500000,380.500000,15412
2019-04-29,382.000000,390.000000,360.000000,366.000000,366.000000,12054
2019-05-06,369.000000,399.000000,364.500000,389.000000,389.000000,33300
2019-05-13,391.000000,399.000000,387.000000,398.000000,398.000000,37140
2019-05-20,400.000000,409.000000,380.000000,402.000000,402.000000,27849
2019-05-27,409.000000,415.000000,391.000000,397.500000,397.500000,20092
2019-06-03,394.500000,399.000000,385.000000,397.000000,397.000000,16894
2019-06-10,400.000000,400.000000,386.000000,389.500000,389.500000,17370
2019-06-17,391.000000,403.000000,385.000000,398.500000,398.500000,19283
2019-06-24,400.000000,407.000000,391.000000,397.000000,397.000000,13530
2019-07-01,397.000000,407.000000,391.000000,396.000000,396.000000,12618
2019-07-08,397.000000,401.000000,393.000000,396.000000,396.000000,7782
2019-07-15,396.000000,430.000000,392.500000,422.500000,422.500000,92925
2019-07-22,420.500000,427.500000,396.000000,417.000000,417.000000,26388
2019-07-29,417.000000,419.500000,402.000000,402.000000,402.000000,15013
2019-08-05,402.000000,407.000000,376.500000,397.500000,397.500000,38394
2019-08-12,397.500000,403.000000,385.500000,390.000000,390.000000,30418
2019-08-19,388.000000,405.000000,379.000000,404.000000,404.000000,15779
2019-08-26,398.500000,408.000000,374.500000,405.000000,405.000000,27851
2019-09-02,406.500000,429.000000,402.000000,408.500000,408.500000,40103
2019-09-09,413.000000,415.000000,404.000000,406.000000,406.000000,18888
2019-09-16,403.000000,409.000000,386.000000,386.000000,386.000000,28907
2019-09-23,390.500000,400.000000,382.500000,400.000000,400.000000,10869
2019-09-30,400.000000,400.000000,361.500000,384.000000,384.000000,16909
2019-10-07,382.500000,403.000000,378.000000,380.000000,380.000000,18406
2019-10-14,380.000000,390.000000,336.000000,345.500000,345.500000,47452
2019-10-21,352.000000,355.000000,336.500000,353.500000,353.500000,15449
2019-10-28,358.000000,363.500000,336.500000,338.500000,338.500000,33582
